user_id,purchase,pay_dt,media_source
00743990,0.99,2021-10-06,Facebook Ads
00743990,0.99,2021-10-06,Facebook Ads
00743990,2.99,2021-10-06,Facebook Ads
00842c0f,0.99,2021-10-08,Facebook Ads
00842c0f,0.99,2021-10-08,Facebook Ads
00842c0f,2.99,2021-10-07,Facebook Ads
00842c0f,0.99,2021-10-07,Facebook Ads
00842c0f,0.99,2021-10-07,Facebook Ads
0093a7c4,0.99,2021-10-21,Google Adwords
0093a7c4,2.99,2021-10-17,Google Adwords
00c9bc5c,0.99,2021-10-01,Google Adwords
00c9bc5c,0.99,2021-10-01,Google Adwords
00c9bc5c,0.99,2021-10-01,Google Adwords
00c9bc5c,0.99,2021-10-01,Google Adwords
00c9bc5c,0.99,2021-10-01,Google Adwords
00e60bf5,0.99,2021-10-05,Google Adwords
00e8f04b,0.99,2021-10-05,Google Adwords
00e8f04b,0.99,2021-10-05,Google Adwords
00f55b58,0.99,2021-10-01,Google Adwords
00f55b58,0.99,2021-10-01,Google Adwords
00f55b58,0.99,2021-10-01,Google Adwords
01174187,4.99,2021-10-15,Facebook Ads
011bef90,0.99,2021-10-31,Facebook Ads
011bef90,0.99,2021-10-04,Facebook Ads
012c4a61,2.99,2021-10-11,Google Adwords
01445d4e,0.99,2021-10-05,Facebook Ads
01445d4e,2.99,2021-10-05,Facebook Ads
01445d4e,0.99,2021-10-05,Facebook Ads
01445d4e,0.99,2021-10-05,Facebook Ads
0160f1b5,4.99,2021-10-08,Google Adwords
017d5aca,0.99,2021-10-28,Facebook Ads
019ea427,0.99,2021-10-22,Facebook Ads
01b7bda5,0.99,2021-10-19,Google Adwords
01d654ec,0.99,2021-10-12,Facebook Ads
01d654ec,0.99,2021-10-12,Facebook Ads
01d7f3a3,0.99,2021-10-29,Google Adwords
01de5987,0.99,2021-10-14,Facebook Ads
01de5987,0.99,2021-10-14,Facebook Ads
021dfc0c,0.99,2021-10-11,Facebook Ads
02466563,0.99,2021-10-03,Google Adwords
025c2c1d,0.99,2021-10-03,Facebook Ads
025c2c1d,0.99,2021-10-03,Facebook Ads
025c2c1d,0.99,2021-10-03,Facebook Ads
0289b700,0.99,2021-10-29,Facebook Ads
0289b700,0.99,2021-10-29,Facebook Ads
02947d2f,0.99,2021-10-17,Facebook Ads
02947d2f,0.99,2021-10-21,Facebook Ads
02a4a1c6,0.99,2021-10-12,Facebook Ads
02abaa2a,0.99,2021-10-18,Google Adwords
02abaa2a,2.99,2021-10-18,Google Adwords
02b269f9,0.99,2021-10-11,Google Adwords
02c930c7,0.99,2021-10-08,Facebook Ads
02ce4fba,0.99,2021-11-02,Facebook Ads
02ce4fba,0.99,2021-11-11,Facebook Ads
02d115bc,0.99,2021-10-11,Google Adwords
02d115bc,0.99,2021-10-10,Google Adwords
02da9caf,0.99,2021-10-15,Google Adwords
02da9caf,0.99,2021-10-15,Google Adwords
02fa887b,0.99,2021-10-06,Facebook Ads
0301bd0c,2.99,2021-10-19,Google Adwords
0301bd0c,0.99,2021-10-19,Google Adwords
0301bd0c,0.99,2021-10-19,Google Adwords
0302c237,0.99,2021-10-04,Google Adwords
030c03ec,0.99,2021-10-29,Facebook Ads
030c03ec,0.99,2021-10-30,Facebook Ads
030d9efd,0.99,2021-10-30,Google Adwords
0312253c,0.99,2021-10-07,Google Adwords
0312253c,2.99,2021-10-07,Google Adwords
03163bfa,2.99,2021-10-13,Google Adwords
03163bfa,2.99,2021-10-13,Google Adwords
03163bfa,0.99,2021-10-13,Google Adwords
03255ee3,2.99,2021-10-19,Facebook Ads
03277cd6,0.99,2021-10-20,Facebook Ads
03277cd6,0.99,2021-10-20,Facebook Ads
0340b838,0.99,2021-10-01,Facebook Ads
0340b838,0.99,2021-10-01,Facebook Ads
034491fd,0.99,2021-10-01,Google Adwords
034491fd,0.99,2021-10-04,Google Adwords
037b2e63,0.99,2021-10-18,organic
037b2e63,0.99,2021-10-18,organic
0383d593,4.99,2021-10-11,Facebook Ads
0383d593,0.99,2021-10-11,Facebook Ads
0383d593,0.99,2021-10-11,Facebook Ads
0383d593,0.99,2021-10-11,Facebook Ads
03890327,0.99,2021-10-02,Google Adwords
039f89af,0.99,2021-10-01,Facebook Ads
039f89af,0.99,2021-10-01,Facebook Ads
03a649a0,0.99,2021-10-28,Google Adwords
03e03a4d,0.99,2021-10-24,Google Adwords
03e03a4d,0.99,2021-10-25,Google Adwords
03f36c52,0.99,2021-10-29,Google Adwords
03f5d8f6,0.99,2021-10-07,Facebook Ads
03f5d8f6,0.99,2021-10-07,Facebook Ads
03f88131,0.99,2021-10-22,Facebook Ads
0409f345,0.99,2021-10-31,Facebook Ads
040d4ceb,4.99,2021-10-21,Google Adwords
041fa677,2.99,2021-10-12,Google Adwords
041fa677,0.99,2021-10-12,Google Adwords
044eae7a,0.99,2021-10-28,Google Adwords
0451df4e,0.99,2021-10-21,Facebook Ads
0451df4e,0.99,2021-10-21,Facebook Ads
045edd96,0.99,2021-10-03,Google Adwords
045edd96,0.99,2021-10-03,Google Adwords
047dc611,4.99,2021-10-06,Facebook Ads
047dc611,0.99,2021-10-06,Facebook Ads
0489808c,0.99,2021-10-06,Facebook Ads
0489808c,0.99,2021-10-06,Facebook Ads
0489808c,0.99,2021-10-07,Facebook Ads
04929ffd,0.99,2021-10-06,Facebook Ads
0495d2a0,0.99,2021-10-17,Facebook Ads
0495d2a0,0.99,2021-10-18,Facebook Ads
04a6fc19,2.99,2021-10-28,Google Adwords
04bda2d9,0.99,2021-10-21,Google Adwords
04bda2d9,0.99,2021-10-18,Google Adwords
04f8083e,0.99,2021-10-14,Google Adwords
04f8083e,0.99,2021-10-14,Google Adwords
04fc04f2,0.99,2021-10-13,Facebook Ads
04fc04f2,0.99,2021-10-15,Facebook Ads
04fc04f2,0.99,2021-10-15,Facebook Ads
050394fb,0.99,2021-10-25,Google Adwords
0509be95,0.99,2021-10-27,Google Adwords
0538dade,0.99,2021-10-29,Google Adwords
054180b3,0.99,2021-10-24,Facebook Ads
054180b3,0.99,2021-10-24,Facebook Ads
0556ffaf,0.99,2021-10-13,Facebook Ads
0556ffaf,0.99,2021-10-13,Facebook Ads
05708dff,0.99,2021-10-09,Facebook Ads
05a951e0,0.99,2021-10-01,Google Adwords
05c02253,2.99,2021-10-27,Facebook Ads
05c2fa01,0.99,2021-10-20,Facebook Ads
05c2fa01,0.99,2021-10-20,Facebook Ads
05d56759,0.99,2021-10-22,Google Adwords
05f97216,0.99,2021-10-28,Google Adwords
05f97216,0.99,2021-10-27,Google Adwords
0604124d,0.99,2021-10-15,Facebook Ads
0627f909,0.99,2021-10-14,Facebook Ads
0627f909,0.99,2021-10-14,Facebook Ads
0637fb2b,0.99,2021-10-23,Google Adwords
064204d7,4.99,2021-10-03,Facebook Ads
064204d7,0.99,2021-10-02,Facebook Ads
06429bef,0.99,2021-10-05,Google Adwords
06429bef,0.99,2021-10-05,Google Adwords
06541365,0.99,2021-10-05,Facebook Ads
0682c916,2.99,2021-10-07,organic
06b4d63c,0.99,2021-10-27,Google Adwords
06c5005a,0.99,2021-10-14,Google Adwords
06c5005a,4.99,2021-10-12,Google Adwords
06c5005a,2.99,2021-10-13,Google Adwords
06c8b37b,0.99,2021-10-06,Google Adwords
06fab099,0.99,2021-10-27,Facebook Ads
06fab099,0.99,2021-10-27,Facebook Ads
06fab099,9.99,2021-10-27,Facebook Ads
070729f2,0.99,2021-10-22,Google Adwords
070729f2,0.99,2021-10-22,Google Adwords
0716a64c,0.99,2021-10-08,organic
07212efe,0.99,2021-10-03,Google Adwords
07212efe,0.99,2021-10-03,Google Adwords
0722a9b8,0.99,2021-10-20,Facebook Ads
07328298,0.99,2021-10-24,Google Adwords
07380973,0.99,2021-10-14,Google Adwords
07380973,0.99,2021-10-14,Google Adwords
07384e61,0.99,2021-10-18,Facebook Ads
07384e61,0.99,2021-10-10,Facebook Ads
07384e61,0.99,2021-10-09,Facebook Ads
07384e61,0.99,2021-10-12,Facebook Ads
073a23ef,0.99,2021-10-27,Facebook Ads
073a23ef,0.99,2021-10-22,Facebook Ads
07445e97,0.99,2021-10-31,Google Adwords
07557321,0.99,2021-10-15,Facebook Ads
07557321,0.99,2021-10-15,Facebook Ads
075885b8,0.99,2021-10-28,Google Adwords
075baec8,0.99,2021-10-21,Google Adwords
075baec8,0.99,2021-10-21,Google Adwords
0792f19e,0.99,2021-10-06,Google Adwords
07c22977,0.99,2021-11-05,Google Adwords
07ebf1c8,0.99,2021-10-11,Facebook Ads
07ebf1c8,0.99,2021-10-11,Facebook Ads
07f1d9bb,2.99,2021-10-23,Google Adwords
07f59e1b,0.99,2021-10-01,Google Adwords
07f59e1b,0.99,2021-10-01,Google Adwords
07f59e1b,4.99,2021-10-01,Google Adwords
07f68f17,9.99,2021-10-09,Facebook Ads
07f68f17,0.99,2021-10-09,Facebook Ads
07f96034,0.99,2021-10-14,organic
07f96034,0.99,2021-10-14,organic
07f96034,0.99,2021-10-14,organic
0815d9a2,0.99,2021-10-10,Google Adwords
0825823d,0.99,2021-10-29,Facebook Ads
0856f18e,0.99,2021-10-10,Facebook Ads
08636d13,0.99,2021-10-19,Google Adwords
08636d13,0.99,2021-10-19,Google Adwords
08660c09,0.99,2021-10-09,Facebook Ads
08660c09,0.99,2021-10-09,Facebook Ads
08860bcf,2.99,2021-10-01,Facebook Ads
08860bcf,4.99,2021-10-01,Facebook Ads
08860bcf,0.99,2021-10-01,Facebook Ads
08b472d1,2.99,2021-10-12,Google Adwords
08b472d1,2.99,2021-10-10,Google Adwords
08b472d1,0.99,2021-10-11,Google Adwords
08be9285,0.99,2021-10-22,Google Adwords
08c36a85,0.99,2021-10-20,Google Adwords
08c36a85,0.99,2021-10-21,Google Adwords
08cc0128,0.99,2021-10-31,Google Adwords
08cc0128,0.99,2021-10-31,Google Adwords
08e2c6d5,0.99,2021-11-17,Google Adwords
08f0f17e,0.99,2021-10-15,Google Adwords
08f0f17e,0.99,2021-10-12,Google Adwords
08f0f17e,0.99,2021-10-09,Google Adwords
08f0f17e,0.99,2021-10-17,Google Adwords
08f14a7e,0.99,2021-10-11,Google Adwords
08f14a7e,0.99,2021-10-11,Google Adwords
08f21a6a,0.99,2021-10-14,organic
08f21a6a,0.99,2021-10-14,organic
08f21a6a,0.99,2021-10-14,organic
0997eaa2,0.99,2021-10-22,Facebook Ads
099e7349,0.99,2021-10-01,Google Adwords
099e7349,0.99,2021-10-01,Google Adwords
099e7349,0.99,2021-10-01,Google Adwords
09a1d04d,0.99,2021-10-30,Google Adwords
09a82b76,0.99,2021-10-17,Facebook Ads
09a82b76,0.99,2021-10-17,Facebook Ads
09b0134d,0.99,2021-10-03,Google Adwords
09c80bcf,0.99,2021-10-29,Facebook Ads
09c80bcf,2.99,2021-10-28,Facebook Ads
09c80bcf,0.99,2021-10-21,Facebook Ads
09c89225,9.99,2021-10-14,Facebook Ads
09dfd031,0.99,2021-10-30,Google Adwords
09dfd031,0.99,2021-10-30,Google Adwords
0a18e6f1,0.99,2021-10-16,Google Adwords
0a18e6f1,0.99,2021-10-16,Google Adwords
0a18e6f1,2.99,2021-10-16,Google Adwords
0a284338,0.99,2021-10-30,Facebook Ads
0a402a7a,0.99,2021-10-08,Facebook Ads
0a402a7a,0.99,2021-10-08,Facebook Ads
0a533951,0.99,2021-10-09,Facebook Ads
0a7fc4a3,0.99,2021-10-19,Google Adwords
0a96afbd,0.99,2021-10-19,Google Adwords
0a998a2d,0.99,2021-10-21,organic
0ad35109,0.99,2021-10-10,Facebook Ads
0ad35109,0.99,2021-10-10,Facebook Ads
0ad35109,0.99,2021-10-11,Facebook Ads
0ad35109,0.99,2021-10-11,Facebook Ads
0b11d9fc,0.99,2021-10-18,Facebook Ads
0b1456c2,0.99,2021-10-13,Google Adwords
0b335a4c,0.99,2021-10-18,Facebook Ads
0b335a4c,0.99,2021-10-20,Facebook Ads
0b335a4c,9.99,2021-10-19,Facebook Ads
0b41ff0b,0.99,2021-10-07,Facebook Ads
0b448393,0.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
0b448393,0.99,2021-10-01,Google Adwords
